CASE #,Racism,Misogyny,Homophobia,Religious hatred,Motive: Racism/Xenophobia,Motive: Religious Hate,Motive: Misogyny,Motive: Homophobia,Motive: Employment Issue,Motive: Legal Issue,Motive: Relationship Issue,Motive: Interpersonal Conflict,Motive: Fame-Seeking,Motive: Other,Motive: Unknown,Role of Psychosis in the Shooting
156,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Symptoms of psychosis played a major role in the crime, no other known motive"
157,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No evidence
158,TRUE,FALSE,TRUE,TRUE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No evidence
159,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,No evidence
160,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Symptoms of psychosis played a major role in the crime, no other known motive"
161,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
162,FALSE,TRUE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
163,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,No evidence
164,TRUE,TRUE,FALSE,TRUE,"Yes, targeting people of color",Antisemitism,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
165,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No evidence
166,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
167,FALSE,TRUE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
168,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
169,TRUE,FALSE,FALSE,FALSE,"Yes, targeting people of color",No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
170,FALSE,TRUE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
171,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Symptoms of psychosis may have played a minor role in the crime
172,TRUE,FALSE,FALSE,TRUE,"Yes, targeting people of color",Antisemitism,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
173,TRUE,FALSE,FALSE,TRUE,"Yes, targeting people of color",Antisemitism,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
174,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Symptoms of psychosis may have played a minor role in the crime
175,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
176,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,No evidence
177,FALSE,TRUE,FALSE,FALSE,"Yes, targeting people of color",No evidence,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
178,FALSE,FALSE,TRUE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
179,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No evidence
180,TRUE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
181,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
182,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
183,TRUE,TRUE,FALSE,TRUE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Symptoms of psychosis may have played a minor role in the crime
184,TRUE,FALSE,FALSE,TRUE,"Yes, targeting people of color",Antisemitism,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No evidence
185,FALSE,TRUE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No evidence
186,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
187,FALSE,FALSE,FALSE,TRUE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
188,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
189,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,TRUE,No evidence
190,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Symptoms of psychosis played a moderate role in the crime, but there was an additional motive"
191,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
192,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No evidence
193,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
194,FALSE,FALSE,FALSE,FALSE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,No evidence
195,TRUE,TRUE,FALSE,TRUE,No evidence,No evidence,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,No evidence
